,category_code,p_code,p_group,kind_name_new,rank,unit,price
8488,AW_A00181,AW_A00181,풋고추,풋고추(청양고추)(10kg),중품,10kg,
8489,AW_A00178,AW_A00178,풋고추,풋고추(오이맛고추)(10kg),상품,10kg,
8490,AW_A00179,AW_A00179,풋고추,풋고추(오이맛고추)(10kg),중품,10kg,
8491,AW_A00093,AW_A00093,붉은고추,붉은고추(10kg),상품,10kg,
8492,AW_A00094,AW_A00094,붉은고추,붉은고추(10kg),중품,10kg,
8493,AW_A00186,AW_A00186,피마늘,피마늘(한지)(10kg),상품,10kg,
8494,AW_A00187,AW_A00187,피마늘,피마늘(한지)(10kg),중품,10kg,
8495,AW_A00184,AW_A00184,피마늘,피마늘(난지)(대서)(10kg),상품,10kg,
8496,AW_A00185,AW_A00185,피마늘,피마늘(난지)(대서)(10kg),중품,10kg,
8497,AW_A00124,AW_A00124,양파,양파(15kg),상품,15kg,
8498,AW_A00125,AW_A00125,양파,양파(15kg),중품,15kg,
8499,AW_A00044,AW_A00044,파,대파(1kg),상품,1kg,
8500,AW_A00045,AW_A00045,파,대파(1kg),중품,1kg,
8501,AW_A00141,AW_A00141,파,쪽파(1kg),상품,1kg,
8502,AW_A00142,AW_A00142,파,쪽파(1kg),중품,1kg,
8503,AW_A00108,AW_A00108,생강,생강(국산)(10kg),상품,10kg,
8504,AW_A00109,AW_A00109,생강,생강(국산)(10kg),중품,10kg,
8505,AW_A00110,AW_A00110,생강,생강(수입)(10kg),중품,10kg,
8506,AW_A00070,AW_A00070,미나리,미나리(7.5kg),상품,7.5kg,
8507,AW_A00071,AW_A00071,미나리,미나리(7.5kg),중품,7.5kg,
8508,AW_A00031,AW_A00031,깻잎,깻잎(2kg),상품,2kg,
8509,AW_A00032,AW_A00032,깻잎,깻잎(2kg),중품,2kg,
8510,AW_A00188,AW_A00188,피망,피망(청)(10kg),상품,10kg,
8511,AW_A00189,AW_A00189,피망,피망(청)(10kg),중품,10kg,
8512,AW_A00160,AW_A00160,파프리카,파프리카(5kg),상품,5kg,
8513,AW_A00161,AW_A00161,파프리카,파프리카(5kg),중품,5kg,
8514,AW_A00057,AW_A00057,멜론,멜론(8kg),상품,8kg,
8515,AW_A00058,AW_A00058,멜론,멜론(8kg),중품,8kg,
8516,AW_A00029,AW_A00029,깐마늘(국산),깐마늘(국산)(대서)(20kg),상품,20kg,
8517,AW_A00030,AW_A00030,깐마늘(국산),깐마늘(국산)(대서)(20kg),중품,20kg,
8518,AW_A00027,AW_A00027,깐마늘(국산),깐마늘(국산)(남도)(20kg),상품,20kg,
8519,AW_A00028,AW_A00028,깐마늘(국산),깐마늘(국산)(남도)(20kg),중품,20kg,
8520,AW_A00042,AW_A00042,방울토마토,대추방울토마토(1kg),상품,1kg,
8521,AW_A00043,AW_A00043,방울토마토,대추방울토마토(1kg),중품,1kg,
8522,AW_A00086,AW_A00086,배추,배추(월동)(10kg),상품,10kg,"12,600"
8523,AW_A00087,AW_A00087,배추,배추(월동)(10kg),중품,10kg,"11,600"
